time, magnitude, latitude, longitude, depth
2012-09-18T03:23:45.840Z,5.2,-6.169,103.739,35.0
1995-01-01T12:30:05.300Z,5.2,40.049,142.686,42.0
1996-06-25T21:37:02.680Z,5.0,39.971,142.839,44.9
1995-01-01T12:30:05.300Z,5.2,40.049,142.686,42.0
2002-04-11T12:04:13.480Z,5.3,39.987,142.813,35.9
1995-01-01T12:30:05.300Z,5.2,40.049,142.686,42.0
2011-05-02T21:25:49.540Z,5.1,40.102,142.564,32.3
1995-01-01T12:30:05.300Z,5.2,40.049,142.686,42.0
2014-01-16T01:12:17.710Z,5.1,40.115,142.818,51.8
1995-01-05T12:07:36.750Z,5.2,39.209,143.51,29.5
2009-06-23T07:24:13.380Z,5.1,39.203,143.463,28.0
1995-01-09T18:54:20.650Z,5.2,46.165,152.233,28.7
2017-06-22T22:36:19.480Z,5.0,46.205,152.266,9.6
1995-01-20T00:55:22.160Z,5.8,-10.99,162.145,26.5
2010-09-06T13:46:26.410Z,5.7,-10.965,162.173,25.5
1995-04-06T20:47:48.970Z,5.4,10.927,125.971,38.4
2014-10-04T17:38:42.340Z,5.2,10.921,125.961,63.7
1995-04-16T20:36:09.020Z,5.2,-21.017,-174.386,31.5
1999-01-26T07:04:20.900Z,5.2,-21.1,-174.486,33.0
1995-04-16T20:36:09.020Z,5.2,-21.017,-174.386,31.5
2003-07-04T01:15:56.550Z,5.3,-20.962,-174.541,33.0
1995-04-21T03:05:31.490Z,5.1,12.122,125.668,25.0
1995-05-25T01:31:11.120Z,5.0,12.122,125.67,30.0
1995-04-24T06:08:08.540Z,5.5,12.226,125.84,30.3
2003-03-16T09:00:27.050Z,5.4,12.181,125.826,30.4
1995-06-29T01:27:02.890Z,5.1,-33.912,-72.319,41.1
2011-04-19T05:50:45.370Z,5.1,-33.846,-72.151,13.1
1995-07-20T11:13:37.960Z,5.0,0.522,-80.091,33.0
2007-12-10T18:19:07.370Z,5.1,0.589,-80.007,38.9
1995-08-18T20:17:25.300Z,5.4,-6.609,154.68,33.0
2007-02-13T10:56:58.380Z,5.4,-6.655,154.655,33.0
1995-09-27T02:05:23.680Z,5.0,26.423,128.872,33.0
2011-02-22T04:56:19.740Z,5.1,26.419,128.706,16.1
1995-11-14T06:32:55.750Z,5.1,-3.682,101.924,57.0
2003-07-02T00:47:11.860Z,5.1,-3.643,102.06,75.2
1996-03-05T17:32:10.180Z,5.9,24.033,122.241,33.0
2005-09-06T01:16:02.350Z,5.8,24.084,122.191,32.0
1996-03-28T17:53:22.400Z,5.0,24.338,122.143,38.9
2009-07-13T20:28:54.920Z,5.0,24.093,122.116,37.2
1996-04-08T20:08:30.650Z,5.2,-6.07,148.458,87.2
2008-01-29T22:45:06.070Z,5.0,-5.954,148.429,54.2
