1998134_2004046, -1.3, 12, 0.1, 13
2006198_2014256, 4.5, 75, -0.1, 76
1992297_2001047, 6.9, 1, 0.1, 1
2003101_2008097, -1.9, 11, 0.0, 11
1998134_2015290, -1.2, 9, -0.1, 9
2001299_2014164, -3.9, 26, -0.1, 27
2009240_2010352, -0.3, 68, -0.1, 67
1998229_2010223, 2.9, 27, 0.1, 26
2007331_2013162, 0.4, 48, -0.1, 47
2005225_2011051, -1.2, 46, -0.1, 47
1997245_2007016, 1.2, 13, -0.0, 14
2006321_2010028, -1.1, 33, -0.1, 33
2005129_2012232, -1.5, 50, -0.3, 48
2012141_2015162, -0.0, 170, -0.1, 175
1998113_2014256, 1.9, 16, 0.0, 16
2014039_2015135, 1.9, 117, 0.2, 117
2004143_2009192, -0.1, 78, -0.1, 79
1991245_1999040, 0.5, 6, 0.0, 6
2005044_2006259, -0.5, 121, -0.1, 116
2008097_2008153, -2.0, 35, 0.1, 35
2008152_2014016, -1.3, 80, 0.1, 75
2002187_2017200, 2.9, 18, 0.0, 19
1994304_2000278, -0.3, 4, -0.0, 4
2010345_2014345, 4.9, 21, 0.0, 19
2004251_2014216, 0.4, 14, -0.1, 14
2005071_2014216, 0.3, 45, -0.0, 43
2010028_2015132, 1.5, 45, 0.1, 43
2002276_2010316, -1.7, 33, -0.0, 32
1999051_2013357, -0.7, 9, 0.2, 9
1995106_1999026, 0.7, 7, -0.0, 7
1994317_2007110, 0.7, 13, -0.0, 12
1999040_2004254, -0.9, 27, 0.1, 33
2006214_2015128, 0.2, 43, -0.3, 45
1997018_2004315, -2.1, 14, -0.0, 13
2007234_2014102, 5.2, 49, -0.3, 52
1997117_2008063, 1.0, 23, -0.0, 22
1996123_2008070, -3.8, 16, -0.3, 16
2007330_2014168, -0.1, 48, -0.1, 44
1995106_2003185, 0.6, 2, 0.0, 2
2008129_2016353, -1.7, 78, -0.1, 79
1993309_2004130, -2.2, 6, -0.1, 6
2005244_2010272, -3.0, 50, 0.0, 54
2010273_2015203, 3.3, 159, -0.1, 133
2002248_2017312, 0.2, 31, 0.0, 31
2008310_2017139, 1.6, 110, -0.2, 104
1997040_2005120, 2.3, 6, 0.1, 6
1998281_2009304, -4.5, 16, -0.1, 18
1996162_1996206, -2.4, 18, -0.1, 19
1996177_2002101, 1.1, 16, -0.2, 19
2005116_2011051, -2.5, 61, -0.0, 62
2009254_2017123, -0.2, 24, -0.1, 25
2004251_2011019, 3.1, 48, -0.1, 53
2009104_2015179, -0.6, 51, -0.0, 49
2004283_2017341, 1.5, 18, 0.1, 18
2005116_2005225, -1.3, 49, 0.1, 55
2007263_2011062, 1.7, 105, -0.2, 104
1994299_2009005, 12.1, 5, 0.1, 5
2005037_2015163, -2.5, 30, -0.7, 33
1994217_2011170, 0.1, 13, 0.2, 13
1995201_2007344, -2.6, 5, -0.0, 5
1995009_2017173, 0.1, 5, 0.1, 5
2000345_2016218, -3.6, 7, -0.0, 7
1997018_1999275, 1.2, 8, -0.1, 8
2006203_2015132, 0.7, 34, -0.2, 35
2000076_2014101, 1.1, 11, 0.1, 11
1993096_2001254, 2.0, 5, -0.1, 5
1993197_2015070, 1.6, 2, 0.1, 2
2004366_2005204, -0.0, 86, 0.0, 91
2011326_2014043, -0.8, 159, -0.1, 157
1994354_2012262, -1.9, 11, -0.0, 11
2008122_2011056, 0.5, 68, 0.0, 81
2002199_2009125, -2.2, 6, -0.0, 6
2002052_2007348, -1.5, 13, 0.1, 14
2005183_2008218, 0.1, 63, 0.1, 68
1994215_2013295, -1.0, 8, 0.1, 8
2008191_2012060, -3.7, 28, 0.1, 30
2001190_2005323, -4.1, 11, -0.2, 12
2009330_2015280, -1.6, 74, -0.0, 74
1996276_2010227, -2.6, 35, 0.2, 37
2002040_2002161, -2.3, 21, 0.1, 25
1997071_2002171, -0.1, 2, -0.5, 2
2003137_2017050, -1.7, 43, 0.2, 45
1997076_2003317, 0.6, 13, -0.1, 14
1990272_2000168, 2.7, 2, -0.0, 2
1994113_2013206, -1.8, 7, 0.0, 7
2005088_2010304, -2.8, 40, -0.1, 44
2003019_2013205, -1.2, 27, 0.1, 28
2007278_2012088, 2.9, 75, -0.1, 75
2006225_2010352, -2.9, 42, -0.3, 47
2009336_2017171, -0.2, 35, 0.2, 34
2000278_2008132, -2.1, 19, -0.2, 20
1999026_2008053, -2.2, 9, -0.1, 9
2004361_2005029, -0.0, 57, -0.2, 55
2007234_2014116, 1.9, 40, -0.3, 45
1996162_2016166, -4.0, 13, -0.2, 14
2010070_2011206, 0.8, 134, 0.1, 132
1999232_2011194, 1.8, 12, 0.0, 12
2010357_2013119, -1.1, 93, -0.4, 92
2000166_2012144, -2.1, 46, -0.1, 47
2006225_2016353, -2.3, 32, -0.2, 36
1996280_2014054, 1.7, 5, 0.0, 5
2001310_2014141, 1.1, 37, -0.1, 37
2009054_2016245, -0.9, 136, 0.0, 126
2004191_2012258, 0.4, 11, 0.0, 11
2006001_2008134, 1.8, 92, -0.1, 93
2000236_2012306, 3.5, 38, 0.0, 39
2006137_2010204, 0.2, 28, 0.2, 26
1998231_2002040, 3.6, 4, 0.1, 4
2002187_2012317, 2.2, 17, 0.0, 16
2006130_2007106, 4.1, 72, -0.1, 80
2009240_2016353, 0.2, 59, -0.2, 63
