2006214_2013119, -0.539, 51, nan, 0
2005002_2005026, 0.097, 30, nan, 0
1995270_2011053, 0.231, 13, nan, 0
2002013_2008173, -5.517, 35, nan, 0
1993334_2013205, -2.630, 2, nan, 0
2012081_2013015, 0.871, 402, 0.806, 405
1998134_2004046, -1.263, 12, 1.418, 13
2006198_2014256, 4.454, 75, 3.893, 1
1992297_2001047, nan, 0, nan, 0
2003101_2008097, -1.857, 11, nan, 0
1998134_2015290, -2.276, 8, 0.777, 9
2001299_2014164, -3.885, 25, nan, 0
2009240_2010352, -0.341, 76, nan, 0
1998229_2010223, 2.908, 29, 1.198, 26
2007331_2013162, 0.381, 49, 0.726, 49
2005225_2011051, -1.169, 46, nan, 0
1997245_2007016, 1.201, 13, 0.994, 14
2006321_2010028, -1.073, 32, nan, 0
2005129_2012232, -1.527, 50, nan, 0
2012141_2015162, -0.035, 176, 0.864, 178
1998113_2014256, 1.936, 15, nan, 0
2014039_2015135, 1.925, 118, 1.639, 96
2004143_2009192, -0.140, 83, nan, 0
1991245_1999040, 0.588, 5, 0.975, 5
2005044_2006259, -0.453, 126, nan, 0
2008097_2008153, -2.015, 29, nan, 0
2008152_2014016, -1.297, 81, nan, 0
2002187_2017200, 2.806, 19, 1.226, 18
1994304_2000278, -0.342, 4, nan, 0
2010345_2014345, 4.852, 21, nan, 0
2004251_2014216, 0.381, 13, nan, 0
2005071_2014216, 0.266, 45, nan, 0
2010028_2015132, 1.537, 47, nan, 0
2002276_2010316, -1.659, 30, nan, 0
1999051_2013357, -0.698, 8, nan, 0
1995106_1999026, 0.684, 7, nan, 0
1994317_2007110, 0.710, 13, 0.754, 1
1999040_2004254, -0.948, 32, nan, 0
2006214_2015128, 0.206, 43, 0.137, 18
1997018_2004315, -2.063, 14, nan, 0
2007234_2014102, 5.164, 49, nan, 0
1997117_2008063, 1.025, 23, 0.930, 22
1996123_2008070, -3.790, 14, nan, 0
2007330_2014168, -0.127, 46, nan, 0
1995106_2003185, 0.633, 2, nan, 0
2008129_2016353, -1.658, 79, nan, 0
1993309_2004130, -2.146, 5, nan, 0
2005244_2010272, -2.968, 52, nan, 0
2010273_2015203, 3.328, 164, nan, 0
2002248_2017312, 0.173, 31, nan, 0
2008310_2017139, 1.575, 112, 1.203, 11
1997040_2005120, 2.452, 5, 1.387, 1
1998281_2009304, -4.470, 18, nan, 0
1996162_1996206, -2.433, 18, nan, 0
1996177_2002101, 1.114, 17, 0.575, 19
2005116_2011051, -2.500, 62, nan, 0
2009254_2017123, -0.156, 25, nan, 0
2004251_2011019, 3.142, 52, nan, 0
2009104_2015179, -0.645, 54, 0.870, 36
2004283_2017341, 1.516, 18, nan, 0
2005116_2005225, -1.341, 55, nan, 0
2007263_2011062, 1.747, 105, nan, 0
1994299_2009005, 12.119, 5, nan, 0
2005037_2015163, -2.526, 32, nan, 0
1994217_2011170, 0.053, 12, nan, 0
1995201_2007344, -2.618, 5, nan, 0
1995009_2017173, 0.115, 5, 1.182, 5
2000345_2016218, -3.617, 7, nan, 0
1997018_1999275, 1.211, 8, nan, 0
2006203_2015132, 0.743, 32, 0.744, 6
2000076_2014101, 1.141, 11, 1.139, 4
1993096_2001254, 1.957, 5, 0.956, 2
1993197_2015070, 1.611, 2, nan, 0
2004366_2005204, -0.041, 94, 0.828, 12
2011326_2014043, -0.845, 163, nan, 0
1994354_2012262, -1.907, 10, nan, 0
2008122_2011056, 0.505, 79, nan, 0
2002199_2009125, -2.246, 6, nan, 0
2002052_2007348, -1.500, 13, 1.230, 14
